User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,19,19000,Tidak
15810944,Male,35,20000,Tidak
15668575,Female,26,43000,Tidak
15603246,Female,27,57000,Tidak
15804002,Male,19,76000,Tidak
15728773,Male,27,58000,Tidak
15598044,Female,27,84000,Tidak
15694829,Female,32,150000, membeli
15600575,Male,25,33000,Tidak
15727311,Female,35,65000,Tidak
15570769,Female,26,80000,Tidak
15606274,Female,26,52000,Tidak
15746139,Male,20,86000,Tidak
15704987,Male,32,18000,Tidak
15628972,Male,18,82000,Tidak
15697686,Male,29,80000,Tidak
15733883,Male,47,25000, membeli
15617482,Male,45,26000, membeli
15704583,Male,46,28000, membeli
15621083,Female,48,29000, membeli
15649487,Male,45,22000, membeli
15736760,Female,47,49000, membeli
15714658,Male,48,41000, membeli
15599081,Female,45,22000, membeli
15705113,Male,46,23000, membeli
15631159,Male,47,20000, membeli
15792818,Male,49,28000, membeli
15633531,Female,47,30000, membeli
15744529,Male,29,43000,Tidak
15669656,Male,31,18000,Tidak
15581198,Male,31,74000,Tidak
15729054,Female,27,137000, membeli
15573452,Female,21,16000,Tidak
15776733,Female,28,44000,Tidak
15724858,Male,27,90000,Tidak
15713144,Male,35,27000,Tidak
15690188,Female,33,28000,Tidak
15689425,Male,30,49000,Tidak
15671766,Female,26,72000,Tidak
15782806,Female,27,31000,Tidak
15764419,Female,27,17000,Tidak
15591915,Female,33,51000,Tidak
15772798,Male,35,108000,Tidak
15792008,Male,30,15000,Tidak
15715541,Female,28,84000,Tidak
15639277,Male,23,20000,Tidak
15798850,Male,25,79000,Tidak
15776348,Female,27,54000,Tidak
15727696,Male,30,135000, membeli
15793813,Female,31,89000,Tidak
15694395,Female,24,32000,Tidak
15764195,Female,18,44000,Tidak
15744919,Female,29,83000,Tidak
15671655,Female,35,23000,Tidak
15654901,Female,27,58000,Tidak
15649136,Female,24,55000,Tidak
15775562,Female,23,48000,Tidak
15807481,Male,28,79000,Tidak
15642885,Male,22,18000,Tidak
15789109,Female,32,117000,Tidak
15814004,Male,27,20000,Tidak
15673619,Male,25,87000,Tidak
15595135,Female,23,66000,Tidak
15583681,Male,32,120000, membeli
15605000,Female,59,83000,Tidak
15718071,Male,24,58000,Tidak
15679760,Male,24,19000,Tidak
15654574,Female,23,82000,Tidak
15577178,Female,22,63000,Tidak
15595324,Female,31,68000,Tidak
15756932,Male,25,80000,Tidak
15726358,Female,24,27000,Tidak
15595228,Female,20,23000,Tidak
15782530,Female,33,113000,Tidak
15592877,Male,32,18000,Tidak
15651983,Male,34,112000, membeli
15746737,Male,18,52000,Tidak
15774179,Female,22,27000,Tidak
15667265,Female,28,87000,Tidak
15655123,Female,26,17000,Tidak
15595917,Male,30,80000,Tidak
15668385,Male,39,42000,Tidak
15709476,Male,20,49000,Tidak
15711218,Male,35,88000,Tidak
15798659,Female,30,62000,Tidak
15663939,Female,31,118000, membeli
15694946,Male,24,55000,Tidak
15631912,Female,28,85000,Tidak
15768816,Male,26,81000,Tidak
15682268,Male,35,50000,Tidak
15684801,Male,22,81000,Tidak
15636428,Female,30,116000,Tidak
15809823,Male,26,15000,Tidak
15699284,Female,29,28000,Tidak
15786993,Female,29,83000,Tidak
15709441,Female,35,44000,Tidak
15710257,Female,35,25000,Tidak
15582492,Male,28,123000, membeli
15575694,Male,35,73000,Tidak
15756820,Female,28,37000,Tidak
15766289,Male,27,88000,Tidak
15593014,Male,28,59000,Tidak
15584545,Female,32,86000,Tidak
15675949,Female,33,149000, membeli
15672091,Female,19,21000,Tidak
15801658,Male,21,72000,Tidak
15706185,Female,26,35000,Tidak
15789863,Male,27,89000,Tidak
15720943,Male,26,86000,Tidak
15697997,Female,38,80000,Tidak
15665416,Female,39,71000,Tidak
15660200,Female,37,71000,Tidak
15619653,Male,38,61000,Tidak
15773447,Male,37,55000,Tidak
15739160,Male,42,80000,Tidak
15689237,Male,40,57000,Tidak
15679297,Male,35,75000,Tidak
15591433,Male,36,52000,Tidak
15642725,Male,40,59000,Tidak
15701962,Male,41,59000,Tidak
15811613,Female,36,75000,Tidak
15741049,Male,37,72000,Tidak
15724423,Female,40,75000,Tidak
15574305,Male,35,53000,Tidak
15678168,Female,41,51000,Tidak
15697020,Female,39,61000,Tidak
15610801,Male,42,65000,Tidak
15745232,Male,26,32000,Tidak
15722758,Male,30,17000,Tidak
15792102,Female,26,84000,Tidak
15675185,Male,31,58000,Tidak
15801247,Male,33,31000,Tidak
15725660,Male,30,87000,Tidak
15638963,Female,21,68000,Tidak
15800061,Female,28,55000,Tidak
15578006,Male,23,63000,Tidak
15668504,Female,20,82000,Tidak
15687491,Male,30,107000, membeli
15610403,Female,28,59000,Tidak
15741094,Male,19,25000,Tidak
15807909,Male,19,85000,Tidak
15666141,Female,18,68000,Tidak
15617134,Male,35,59000,Tidak
15783029,Male,30,89000,Tidak
15622833,Female,34,25000,Tidak
15746422,Female,24,89000,Tidak
15750839,Female,27,96000, membeli
15749130,Female,41,30000,Tidak
15779862,Male,29,61000,Tidak
15767871,Male,20,74000,Tidak
15679651,Female,26,15000,Tidak
15576219,Male,41,45000,Tidak
15699247,Male,31,76000,Tidak
15619087,Female,36,50000,Tidak
15605327,Male,40,47000,Tidak
15610140,Female,31,15000,Tidak
15791174,Male,46,59000,Tidak
15602373,Male,29,75000,Tidak
15762605,Male,26,30000,Tidak
15598840,Female,32,135000, membeli
15744279,Male,32,100000, membeli
15670619,Male,25,90000,Tidak
15599533,Female,37,33000,Tidak
15757837,Male,35,38000,Tidak
15697574,Female,33,69000,Tidak
15578738,Female,18,86000,Tidak
15762228,Female,22,55000,Tidak
15614827,Female,35,71000,Tidak
15789815,Male,29,148000, membeli
15579781,Female,29,47000,Tidak
15587013,Male,21,88000,Tidak
15570932,Male,34,115000,Tidak
15794661,Female,26,118000,Tidak
15581654,Female,34,43000,Tidak
15644296,Female,34,72000,Tidak
15614420,Female,23,28000,Tidak
15609653,Female,35,47000,Tidak
15594577,Male,25,22000,Tidak
15584114,Male,24,23000,Tidak
15673367,Female,31,34000,Tidak
15685576,Male,26,16000,Tidak
15774727,Female,31,71000,Tidak
15694288,Female,32,117000, membeli
15603319,Male,33,43000,Tidak
15759066,Female,33,60000,Tidak
15814816,Male,31,66000,Tidak
15724402,Female,20,82000,Tidak
15571059,Female,33,41000,Tidak
15674206,Male,35,72000,Tidak
15715160,Male,28,32000,Tidak
15730448,Male,24,84000,Tidak
15662067,Female,19,26000,Tidak
15779581,Male,29,43000,Tidak
15662901,Male,19,70000,Tidak
15689751,Male,28,89000,Tidak
15667742,Male,34,43000,Tidak
15738448,Female,30,79000,Tidak
15680243,Female,20,36000,Tidak
15745083,Male,26,80000,Tidak
15708228,Male,35,22000,Tidak
15628523,Male,35,39000,Tidak
15708196,Male,49,74000,Tidak
15735549,Female,39,134000, membeli
15809347,Female,41,71000,Tidak
15660866,Female,58,101000, membeli
15766609,Female,47,47000,Tidak
15654230,Female,55,130000, membeli
15794566,Female,52,114000,Tidak
15800890,Female,40,142000, membeli
15697424,Female,46,22000,Tidak
15724536,Female,48,96000, membeli
15735878,Male,52,150000, membeli
15707596,Female,59,42000,Tidak
15657163,Male,35,58000,Tidak
15622478,Male,47,43000,Tidak
15779529,Female,60,108000, membeli
15636023,Male,49,65000,Tidak
15582066,Male,40,78000,Tidak
15666675,Female,46,96000,Tidak
15732987,Male,59,143000, membeli
15789432,Female,41,80000,Tidak
15663161,Male,35,91000, membeli
15694879,Male,37,144000, membeli
15593715,Male,60,102000, membeli
15575002,Female,35,60000,Tidak
15622171,Male,37,53000,Tidak
15795224,Female,36,126000, membeli
15685346,Male,56,133000, membeli
15691808,Female,40,72000,Tidak
15721007,Female,42,80000, membeli
15794253,Female,35,147000, membeli
15694453,Male,39,42000,Tidak
15813113,Male,40,107000, membeli
15614187,Male,49,86000, membeli
15619407,Female,38,112000,Tidak
15646227,Male,46,79000, membeli
15660541,Male,40,57000,Tidak
15753874,Female,37,80000,Tidak
15617877,Female,46,82000,Tidak
15772073,Female,53,143000, membeli
15701537,Male,42,149000, membeli
15736228,Male,38,59000,Tidak
15780572,Female,50,88000, membeli
15769596,Female,56,104000, membeli
15586996,Female,41,72000,Tidak
15722061,Female,51,146000, membeli
15638003,Female,35,50000,Tidak
15775590,Female,57,122000, membeli
15730688,Male,41,52000,Tidak
15753102,Female,35,97000, membeli
15810075,Female,44,39000,Tidak
15723373,Male,37,52000,Tidak
15795298,Female,48,134000, membeli
15584320,Female,37,146000, membeli
15724161,Female,50,44000,Tidak
15750056,Female,52,90000, membeli
15609637,Female,41,72000,Tidak
15794493,Male,40,57000,Tidak
15569641,Female,58,95000, membeli
15815236,Female,45,131000, membeli
15811177,Female,35,77000,Tidak
15680587,Male,36,144000, membeli
15672821,Female,55,125000, membeli
15767681,Female,35,72000,Tidak
15600379,Male,48,90000, membeli
15801336,Female,42,108000, membeli
15721592,Male,40,75000,Tidak
15581282,Male,37,74000,Tidak
15746203,Female,47,144000, membeli
15583137,Male,40,61000,Tidak
15680752,Female,43,133000,Tidak
15688172,Female,59,76000, membeli
15791373,Male,60,42000, membeli
15589449,Male,39,106000, membeli
15692819,Female,57,26000, membeli
15727467,Male,57,74000, membeli
15734312,Male,38,71000,Tidak
15764604,Male,49,88000, membeli
15613014,Female,52,38000, membeli
15759684,Female,50,36000, membeli
15609669,Female,59,88000, membeli
15685536,Male,35,61000,Tidak
15750447,Male,37,70000, membeli
15663249,Female,52,21000, membeli
15638646,Male,48,141000,Tidak
15734161,Female,37,93000, membeli
15631070,Female,37,62000,Tidak
15761950,Female,48,138000, membeli
15649668,Male,41,79000,Tidak
15713912,Female,37,78000, membeli
15586757,Male,39,134000, membeli
15596522,Male,49,89000, membeli
15625395,Male,55,39000, membeli
15760570,Male,37,77000,Tidak
15566689,Female,35,57000,Tidak
15725794,Female,36,63000,Tidak
15673539,Male,42,73000, membeli
15705298,Female,43,112000, membeli
15675791,Male,45,79000,Tidak
15747043,Male,46,117000, membeli
15736397,Female,58,38000, membeli
15678201,Male,48,74000, membeli
15720745,Female,37,137000, membeli
15637593,Male,37,79000, membeli
15598070,Female,40,60000,Tidak
15787550,Male,42,54000,Tidak
15603942,Female,51,134000,Tidak
15733973,Female,47,113000, membeli
15596761,Male,36,125000, membeli
15652400,Female,38,50000,Tidak
15717893,Female,42,70000,Tidak
15622585,Male,39,96000, membeli
15733964,Female,38,50000,Tidak
15753861,Female,49,141000, membeli
15747097,Female,39,79000,Tidak
15594762,Female,39,75000, membeli
15667417,Female,54,104000, membeli
15684861,Male,35,55000,Tidak
15742204,Male,45,32000, membeli
15623502,Male,36,60000,Tidak
15774872,Female,52,138000, membeli
15611191,Female,53,82000, membeli
15674331,Male,41,52000,Tidak
15619465,Female,48,30000, membeli
15575247,Female,48,131000, membeli
15695679,Female,41,60000,Tidak
15713463,Male,41,72000,Tidak
15785170,Female,42,75000,Tidak
15796351,Male,36,118000, membeli
15639576,Female,47,107000, membeli
15693264,Male,38,51000,Tidak
15589715,Female,48,119000, membeli
15769902,Male,42,65000,Tidak
15587177,Male,40,65000,Tidak
15814553,Male,57,60000, membeli
15601550,Female,36,54000,Tidak
15664907,Male,58,144000, membeli
15612465,Male,35,79000,Tidak
15810800,Female,38,55000,Tidak
15665760,Male,39,122000, membeli
15588080,Female,53,104000, membeli
15776844,Male,35,75000,Tidak
15717560,Female,38,65000,Tidak
15629739,Female,47,51000, membeli
15729908,Male,47,105000, membeli
15716781,Female,41,63000,Tidak
15646936,Male,53,72000, membeli
15768151,Female,54,108000, membeli
15579212,Male,39,77000,Tidak
15721835,Male,38,61000,Tidak
15800515,Female,38,113000, membeli
15591279,Male,37,75000,Tidak
15587419,Female,42,90000, membeli
15750335,Female,37,57000,Tidak
15699619,Male,36,99000, membeli
15606472,Male,60,34000, membeli
15778368,Male,54,70000, membeli
15671387,Female,41,72000,Tidak
15573926,Male,40,71000, membeli
15709183,Male,42,54000,Tidak
15577514,Male,43,129000, membeli
15778830,Female,53,34000, membeli
15768072,Female,47,50000, membeli
15768293,Female,42,79000,Tidak
15654456,Male,42,104000, membeli
15807525,Female,59,29000, membeli
15574372,Female,58,47000, membeli
15671249,Male,46,88000, membeli
15779744,Male,38,71000,Tidak
15624755,Female,54,26000, membeli
15611430,Female,60,46000, membeli
15774744,Male,60,83000, membeli
15629885,Female,39,73000,Tidak
15708791,Male,59,130000, membeli
15793890,Female,37,80000,Tidak
15646091,Female,46,32000, membeli
15596984,Female,46,74000,Tidak
15800215,Female,42,53000,Tidak
15577806,Male,41,87000, membeli
15749381,Female,58,23000, membeli
15683758,Male,42,64000,Tidak
15670615,Male,48,33000, membeli
15715622,Female,44,139000, membeli
15707634,Male,49,28000, membeli
15806901,Female,57,33000, membeli
15775335,Male,56,60000, membeli
15724150,Female,49,39000, membeli
15627220,Male,39,71000,Tidak
15672330,Male,47,34000, membeli
15668521,Female,48,35000, membeli
15807837,Male,48,33000, membeli
15592570,Male,47,23000, membeli
15748589,Female,45,45000, membeli
15635893,Male,60,42000, membeli
15757632,Female,39,59000,Tidak
15691863,Female,46,41000, membeli
15706071,Male,51,23000, membeli
15654296,Female,50,20000, membeli
15755018,Male,36,33000,Tidak
15594041,Female,49,36000, membeli
